Scenario,Recall,Effectiveness,NetBenefit,ROIPercent
"Upper 95% CI recall, 40% effectiveness",0.708,0.4,3500000,157.2
"Point estimate, 40% effectiveness",0.65,0.4,3100000,136.2
"Upper 95% CI recall, 30% effectiveness",0.708,0.3,2100000,92.9
"Point estimate, 30% effectiveness",0.65,0.3,1700000,77.1
"Lower 95% CI recall, 30% effectiveness",0.587,0.3,1300000,60.1
"Point estimate, 20% effectiveness",0.65,0.2,400000,18.1
"Lower 95% CI recall, 20% effectiveness",0.587,0.2,200000,6.7
