ObservationWindowYears,AnnualDepartures,BaselineLiability,TruePositivesPerYear,FlaggedPerCycle,DeparturesPrevented,GrossBenefit,ProgrammeCost,NetBenefit,ROIPercent,BreakevenEffectiveness,PaybackMonths
1.0,237,20400000,154,359,46,4000000,2200000,1700000,77.1,0.169,6.8
2.0,118,10200000,77,359,23,2000000,2200000,-300000,-11.4,0.339,13.5
3.0,79,6800000,51,359,15,1300000,2200000,-900000,-41.0,0.508,20.3
